Account,sentiment,fills,accounts,symbols,notional_usd,avg_notional_usd,gross_closed_pnl,total_fees,net_pnl,closed_fills,reducing_position_rate,closed_win_rate,avg_closed_pnl,median_closed_pnl,net_pnl_per_1k_notional
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,26,1,3,124084.75,4772.490384615385,4239.816383,17.360690759999997,4222.455692240001,13,53.84615384615385,100.0,326.1397217692308,47.687346,34.02880444405941
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Greed,206,1,8,554152.63,2690.061310679612,36870.155091,102.23831808,36767.91677292,76,36.89320388349515,100.0,485.13361961842105,95.000704,66.34980108805041
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Fear,61,1,1,149251.29,2446.7424590163937,9461.082288,26.326207999999998,9434.75608,3,4.918032786885246,100.0,3153.6940959999997,3106.205388,63.213899725757805
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,98,1,7,617413.63,6300.139081632653,99648.278349,57.856293979,99590.422055021,35,34.69387755102041,100.0,2847.093667114286,619.494608,161.30259718273632
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Neutral,48,1,4,202833.43,4225.696458333333,74293.663505,28.655434,74265.008071,25,52.083333333333336,100.0,2971.7465402000003,1719.49932,366.1379096680464
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,68,1,5,670213.14,9856.075588235295,12082.95,98.292048,11984.657952000001,2,2.941176470588235,100.0,6041.475,6041.475,17.881860615266362
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Greed,108,1,5,347816.12,3220.5196296296294,4019.61859,56.837105,3962.781485,25,23.14814814814815,100.0,160.7847436,14.2,11.393323245052587
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Fear,79,1,1,440050.95,5570.2651898734175,0.0,44.005053,-44.005053,0,0.0,,,,-0.09999990455650645
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,237,1,10,601013.33,2535.9212236286917,5615.052102,66.227287,5548.824815,24,13.502109704641349,100.0,233.96050424999999,152.69151599999998,9.23244882937954
0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,134,1,5,625897.45,4670.876492537313,58961.37973,212.744953,58748.634777,68,52.98507462686567,100.0,867.0791136764706,186.7117,93.86303583278699
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,772,1,7,1174862.15,1521.842163212435,227680.491734,380.529775,227299.961959,492,64.11917098445595,100.0,462.765227101626,131.13312,193.46947380933162
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Greed,15,1,1,124285.34,8285.689333333334,124284.948775,43.499863,124241.448912,15,100.0,100.0,8285.663251666667,4784.985,999.6468522514402
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Fear,391,1,14,224065.46,573.057442455243,-14527.442518,54.99003924,-14582.432557240001,191,48.59335038363171,53.92670157068062,-76.05990847120418,2.73063,-65.08112654775083
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,924,1,21,498888.4,539.9225108225108,9999.484228,120.1404437259,9879.3437842741,429,46.21212121212121,81.11888111888112,23.308821044289044,11.020284,19.802712960000875
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Neutral,656,1,24,311075.04,474.19975609756096,4029.241688,74.663873246,3954.577814754,345,52.4390243902439,83.47826086956522,11.678961414492754,5.6448,12.712616913121671
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,3398,1,39,1667155.83,490.628555032372,36566.483324,378.32311559,36188.16020841,1428,41.995291347851676,83.4733893557423,25.606781039215686,5.394128,21.706525303282536
